#r(A)          g(r)_raw       g(r)_smooth       Base
   25.8250      0.4606064      0.4484687      0.4866301
   25.8750      0.4694984      0.4443645      0.4733497
   25.9250      0.3811363      0.4244028      0.4602178
   25.9750      0.4189988      0.3962263      0.4473403
   26.0250      0.3917743      0.3687185      0.4346659
   26.0750      0.3197239      0.3571400      0.4221821
   26.1250      0.3319590      0.3469431      0.4099239
   26.1750      0.3232440      0.3351112      0.3978578
   26.2250      0.3680144      0.3303680      0.3860111
   26.2750      0.3326145      0.3197259      0.3743146
   26.3250      0.2960080      0.3176315      0.3627692
   26.3750      0.2787487      0.2993580      0.3513661
   26.4250      0.3127720      0.2882462      0.3401384
   26.4750      0.2766469      0.2836693      0.3290410
   26.5250      0.2770554      0.2826273      0.3181051
   26.5750      0.2731237      0.2742889      0.3073341
   26.6250      0.2735385      0.2729727      0.2967019
   26.6750      0.2710797      0.2631166      0.2862296
   26.7250      0.2700664      0.2564300      0.2759224
   26.7750      0.2277745      0.2477866      0.2657775
   26.8250      0.2396908      0.2369301      0.2558118
   26.8750      0.2303217      0.2213469      0.2460153
   26.9250      0.2167971      0.2146390      0.2363972
   26.9750      0.1921506      0.2037339      0.2269842
   27.0250      0.1942350      0.1909597      0.2177529
   27.0750      0.1851650      0.1780041      0.2087365
   27.1250      0.1664508      0.1618800      0.1999189
   27.1750      0.1520189      0.1501962      0.1912981
   27.2250      0.1115304      0.1363998      0.1828963
   27.2750      0.1358156      0.1229929      0.1747671
   27.3250      0.1161830      0.1115859      0.1668774
   27.3750      0.0994166      0.1068555      0.1592046
   27.4250      0.0949837      0.0920853      0.1517463
   27.4750      0.0878784      0.0828075      0.1444985
   27.5250      0.0619651      0.0746927      0.1374742
   27.5750      0.0697937      0.0647570      0.1306722
   27.6250      0.0588426      0.0564753      0.1240884
   27.6750      0.0453052      0.0517552      0.1177115
   27.7250      0.0464696      0.0441237      0.1115757
   27.7750      0.0383649      0.0376090      0.1056481
   27.8250      0.0316363      0.0337830      0.0999426
   27.8750      0.0262690      0.0284013      0.0944628
   27.9250      0.0261751      0.0225475      0.0891916
   27.9750      0.0195612      0.0190688      0.0841202
   28.0250      0.0090960      0.0171696      0.0792420
   28.0750      0.0142429      0.0132202      0.0745624
   28.1250      0.0167727      0.0093079      0.0700959
   28.1750      0.0064282      0.0087653      0.0658186
   28.2250      0.0000000      0.0064255      0.0617216
   28.2750      0.0063828      0.0040851      0.0578241
   28.3250      0.0025441      0.0048204      0.0540906
   28.3750      0.0050703      0.0053239      0.0505441
   28.4250      0.0101049      0.0042982      0.0471708
   28.4750      0.0025174      0.0047893      0.0439703
   28.5250      0.0012543      0.0037752      0.0409144
   28.5750      0.0049996      0.0020025      0.0380185
   28.6250      0.0000000      0.0017464      0.0352695
   28.6750      0.0012412      0.0017420      0.0326434
   28.7250      0.0012369      0.0009878      0.0301440
   28.7750      0.0012326      0.0009878      0.0277679
   28.8250      0.0012283      0.0009835      0.0255323
