  #r(A)    Histogram   Baseline       PDF
  6.470     0.00970     0.02087    -0.10496
  6.480     0.00987     0.02096    -0.10426
  6.490     0.01003     0.02105    -0.10360
  6.500     0.01019     0.02115    -0.10304
  6.510     0.01048     0.02124    -0.10116
  6.520     0.01064     0.02134    -0.10057
  6.530     0.01082     0.02143    -0.09978
  6.540     0.01100     0.02153    -0.09902
  6.550     0.01123     0.02163    -0.09779
  6.560     0.01144     0.02173    -0.09674
  6.570     0.01167     0.02183    -0.09553
  6.580     0.01174     0.02192    -0.09573
  6.590     0.01199     0.02202    -0.09430
  6.600     0.01225     0.02212    -0.09283
  6.610     0.01245     0.02222    -0.09187
  6.620     0.01252     0.02231    -0.09209
  6.630     0.01246     0.02241    -0.09356
  6.640     0.01254     0.02250    -0.09365
  6.650     0.01247     0.02260    -0.09524
  6.660     0.01236     0.02269    -0.09717
  6.670     0.01228     0.02279    -0.09880
  6.680     0.01208     0.02288    -0.10152
  6.690     0.01200     0.02297    -0.10319
  6.700     0.01185     0.02306    -0.10540
  6.710     0.01172     0.02315    -0.10748
  6.720     0.01168     0.02324    -0.10870
  6.730     0.01157     0.02333    -0.11059
  6.740     0.01182     0.02342    -0.10913
  6.750     0.01189     0.02351    -0.10929
